Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Conti S., Kato T., Park D., Sahai E., Trepat X., Labernadie A.",CAFs and cancer cells co-migration in 3D spheroid invasion assay,The Epithelial-to Mesenchymal Transition,New York,2020,2179,1,243-256,,6,"Campbell K., Theveneau E.",Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Li A., Cho J.-H., Reid B., Tseng C.-C., He L., Tan P., Yeh C.-Y., Wu P., Li Y., Widelitz R.B., Zhou Y., Zhao M., Chow R.H., Chuong C.-M.",Calcium oscillations coordinate feather mesenchymal cell movement by SHH dependent modulation of gap junction networks,,,2018,9,1,,,20,,Nature Communications,Nature Publishing Group,,,,,Article
"Mancini A.E., Rizzo M.A.",Calcium-dependent signaling via gap junctions drives RhoA/ROCK activation during collective cell migration,,,2022,36,1,,,0,,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,NLM (Medline),,,,,Article
"te Boekhorst V., Jiang L., Mählen M., Meerlo M., Dunkel G., Durst F.C., Yang Y., Levine H., Burgering B.M.T., Friedl P.",Calpain-2 regulates hypoxia/HIF-induced plasticity toward amoeboid cancer cell migration and metastasis,,,2022,32,2,412-427,,1,,Current Biology,Cell Press,,,,,Article
"Klappenbach C.M., Negretti N.M., Aaron J., Chew T.-L., Konkel M.E.",Campylobacter jejuni triggers signaling through host cell focal adhesions to inhibit cell motility,,,2021,12,4,,,0,,mBio,American Society for Microbiology,,,,,Article
"Ortiz-Otero N., Clinch A.B., Hope J., Wang W., Reinhart-King C.A., King M.R.",Cancer associated fibroblasts confer shear resistance to circulating tumor cells during prostate cancer metastatic progression,,,2020,11,12,1037-1050,,22,,Oncotarget,Impact Journals LLC,,,,,Article
Strömblad S.,Cancer biology: Hypoxia-induced talin tail-docking sparks cancer metastasis,,,2022,32,2,R79-R81,,0,,Current biology : CB,NLM (Medline),,,,,Article
"Staneva R., Marjou F.E., Barbazan J., Krndija D., Richon S., Clark A.G., Vignjevic D.M.",Cancer cells in the tumor core exhibit spatially coordinated migration patterns,,,2019,132,6,,,19,,Journal of Cell Science,Company of Biologists Ltd,,,,,Article
"Wu J.-S., Li Z.-F., Wang H.-F., Yu X.-H., Pang X., Wu J.-B., Wang S.-S., Zhang M., Yang X., Cao M.-X., Tang Y.-J., Liang X.-H., Zheng M., Tang Y.-L.",Cathepsin B defines leader cells during the collective invasion of salivary adenoid cystic carcinoma,,,2019,54,4,1233-1244,,13,,International Journal of Oncology,Spandidos Publications,,,,,Article
"Katsuno-Kambe H., Parton R.G., Yap A.S., Teo J.L.",Caveolin-1 influences epithelial collective cell migration via FMNL2 formin,,,2021,113,2,107-117,,1,,Biology of the Cell,Blackwell Publishing Ltd,,,,,Article
"Deng H., Guan X., Gong L., Zeng J., Zhang H., Chen M.Y., Li G.",CBX6 is negatively regulated by EZH2 and plays a potential tumor suppressor role in breast cancer,,,2019,9,1,,,18,,Scientific Reports,Nature Publishing Group,,,,,Article
"Wang S.-J., Chao D., Wei W., Nan G., Li J.-Y., Liu F.-L., Li L., Jiang J.-L., Cui H.-Y., Chen Z.-N.",CD147 promotes collective invasion through cathepsin B in hepatocellular carcinoma,,,2020,39,1,,,12,,Journal of Experimental and Clinical Cancer Research,BioMed Central,,,,,Article
"Yin Y., Xu X., Tang J., Zhang W., Zhangyuan G., Ji J., Deng L., Lu S., Zhuo H., Sun B.",CD97 Promotes Tumor Aggressiveness Through the Traditional G Protein–Coupled Receptor–Mediated Signaling in Hepatocellular Carcinoma,,,2018,68,5,1865-1878,,29,,Hepatology,John Wiley and Sons Inc.,,,,,Article
"Sepúlveda-Ramírez S. P., Toledo-Jacobo L., Henson J. H., Shuster C. B.",Cdc42 controls primary mesenchyme cell morphogenesis in the sea urchin embryo,,,2018,437,2,140-151,,11,,Developmental Biology,Elsevier Inc.,,,,,Article
"Janiszewska M., Primi M.C., Izard T.",Cell adhesion in cancer: Beyond the migration of single cells,,,2020,295,8,2495-2505,,118,,Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology Inc.,,,,,Article
"Sharma S.K., Ghosh S., Geetha A.R., Mandal S., Mandal L.",Cell adhesion-mediated actomyosin assembly regulates the activity of cubitus interruptus for hematopoietic progenitor maintenance in Drosophila,,,2019,212,4,1279-1300,,12,,Genetics,Genetics Society of America,,,,,Article
"Wang B.-C., Xu G.-K.",Cell chirality regulates coherent angular motion on small circular substrates,,,2022,121,10,1931-1939,,0,,Biophysical Journal,Biophysical Society,,,,,Article
"Malmi-Kakkada A. N., Li X., Samanta H. S., Sinha S., Thirumalai D.",Cell Growth Rate Dictates the Onset of Glass to Fluidlike Transition and Long Time Superdiffusion in an Evolving Cell Colony,,,2018,8,2,,,28,,Physical Review X,American Physical Society,,,,,Article
"Mishra A.K., Campanale J.P., Mondo J.A., Montell D.J.",Cell interactions in collective cell migration,,,2019,146,23,,,19,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Matsushita K., Horibe K., Kamamoto N., Fujimoto K.",Cell motion alignment as a polarity memory effect,,,2019,88,10,,,3,,Journal of the Physical Society of Japan,Physical Society of Japan,,,,,Article
Trenchard H.,"Cell pelotons: A model of early evolutionary cell sorting, with application to slime mold Dictyostelium discoideum",,,2019,469,1,75-95,,3,,Journal of Theoretical Biology,Academic Press,,,,,Article
"Dries R., Lange A., Heiny S., Berghaus K.I., Bastmeyer M., Bentrop J.",Cell Proliferation and Collective Cell Migration During Zebrafish Lateral Line System Development Are Regulated by Ncam/Fgf-Receptor Interactions,,,2021,8,1,,,0,,Frontiers in Cell and Developmental Biology,Frontiers Media S.A.,,,,,Article
"Buenzli P.R., Lanaro M., Wong C.S., McLaughlin M.P., Allenby M.C., Woodruff M.A., Simpson M.J.",Cell proliferation and migration explain pore bridging dynamics in 3D printed scaffolds of different pore size,,,2020,114,1,285-295,,20,,Acta Biomaterialia,Acta Materialia Inc,,,,,Article
"Little K., Austerman J., Zheng J., Gibbs K.A.",Cell shape and population migration are distinct steps of proteus mirabilis swarming that are decoupled on high-percentage agar,,,2019,201,11,,,8,,Journal of Bacteriology,American Society for Microbiology,,,,,Article
"Riol A., Cervera J., Levin M., Mafe S.",Cell systems bioelectricity: How different intercellular gap junctions could regionalize a multicellular aggregate,,,2021,13,21,,,1,,Cancers,MDPI,,,,,Article
"Ilina O., Gritsenko P.G., Syga S., Lippoldt J., La Porta C.A.M., Chepizhko O., Grosser S., Vullings M., Bakker G.-J., Starruß J., Bult P., Zapperi S., Käs J.A., Deutsch A., Friedl P.",Cell–cell adhesion and 3D matrix confinement determine jamming transitions in breast cancer invasion,,,2020,22,9,1103-1115,,79,,Nature Cell Biology,Nature Research,,,,,Article
"Zhao J., Manuchehrfar F., Liang J.",Cell–substrate mechanics guide collective cell migration through intercellular adhesion: a dynamic finite element cellular model,,,2020,19,5,1781-1796,,5,,Biomechanics and Modeling in Mechanobiology,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Williams M.L.K., Solnica-Krezel L.",Cellular and molecular mechanisms of convergence and extension in zebrafish,Current Topics in Developmental Biology,,2020,136,1,377-407,13,12,Solnica-Krezel L.,Current Topics in Developmental Biology,Academic Press Inc.,,,,9780128127988,Book Chapter
"Zhao H., Zhou Q., Xia M., Feng J., Chen Y., Zhang S., Zhang X.",Characterize Collective Lysosome Heterogeneous Dynamics in Live Cell with a Space- and Time-Resolved Method,,,2018,90,15,9138-9147,,4,,Analytical Chemistry,American Chemical Society,,,,9780128163900,Article
"Bhattacharjee T., Amchin D.B., Alert R., Ott J.A., Datta S.S.",Chemotactic smoothing of collective migration,,,2022,11,1,,,2,,eLife,eLife Sciences Publications Ltd,,,,9780128203101,Article
"Ortiz-Otero N., Marshall J.R., Lash B., King M.R.",Chemotherapy-induced release of circulating-tumor cells into the bloodstream in collective migration units with cancer-associated fibroblasts in metastatic cancer patients,,,2020,20,1,,,7,,BMC Cancer,BioMed Central Ltd,,,,9780128151457,Article
"Macia E., Vazquez-Rojas M., Robiolo A., Fayad R., Abélanet S., Mus-Veteau I., Fontaine-Vive F., Mehiri M., Luton F., Franco M.","Chlortetracycline, a novel ARF inhibitor that decreases the ARF6-dependent invasive properties of breast cancer cells",,,2021,26,4,,,1,,Molecules,MDPI AG,,,,9781510897571,Article
"Juárez-Cruz J.C., Okoniewski M., Ramírez M., Ortuño-Pineda C., Navarro-Tito N., Castañeda-Saucedo E.",Chronic Leptin Treatment Induces Epithelial-Mesenchymal Transition in MCF10A Mammary Epithelial Cells,,,2022,27,1,19-36,,0,,Journal of Mammary Gland Biology and Neoplasia,Springer,,,,9781733419000,Article
"Rahman N., Marangell R., Oelz D.",Classification and stability analysis of polarising and depolarising travelling wave solutions for a model of collective cell migration,,,2022,421,1,,,0,,Applied Mathematics and Computation,Elsevier Inc.,,,,9789811648656,Article
"Huang H.-W., Chen C.-Y., Huang Y.-H., Yeh C.-T., Wang C.-S., Chang C.-C., Lin K.-H.",CMAHP promotes metastasis by reducing ubiquitination of Snail and inducing angiogenesis via GM-CSF overexpression in gastric cancer,,,2022,41,2,159-172,,0,,Oncogene,Springer Nature,,,,9789811648656,Article
"Smith C.L., Reese T.S., Govezensky T., Barrio R.A.","Coherent directed movement toward food modeled in Trichoplax, a ciliated animal lacking a nervous system",,,2019,116,18,8901-8908,,29,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,9781510883901,Article
"Takubo N., Yura F., Naemura K., Yoshida R., Tokunaga T., Tokihiro T., Kurihara H.",Cohesive and anisotropic vascular endothelial cell motility driving angiogenic morphogenesis,,,2019,9,1,,,3,,Scientific Reports,Nature Publishing Group,,,,9780735440258,Article
"Thakur A., Mishra S., Pena J., Zhou J., Redenti S., Majeska R., Vazquez M.",Collective adhesion and displacement of retinal progenitor cells upon extracellular matrix substrates of transplantable biomaterials,,,2018,9,1,,,16,,Journal of Tissue Engineering,SAGE Publications Ltd,,,,9780128203101,Article
"Pena C.D., Zhang S., Markey M., Venkatesh T., Vazquez M.",Collective behaviors of Drosophila-derived retinal progenitors in controlled microenvironments,,,2019,14,12,,,3,,PLoS ONE,Public Library of Science,,,,9780128179963,Article
"Chrisafis G., Wang T., Moissoglu K., Gasparski A.N., Ng Y., Weigert R., Lockett S.J., Mili S.",Collective cancer cell invasion requires RNA accumulation at the invasive front,,,2020,117,44,27423-27434,,8,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,9781665419413,Article
"Wang X., Xing X., Lu S., Du G., Zhang Y., Ren Y., Sun Y., Sun J., Fan Q., Liu K., Wang F., Ye F.",Collective cell behaviors manipulated by synthetic DNA nanostructures,,,2022,,,,,0,,Fundamental Research,KeAi Communications Co.,,,,9781538654880,Article
"Campbell K., Rossi F., Adams J., Pitsidianaki I., Barriga F.M., Garcia-Gerique L., Batlle E., Casanova J., Casali A.",Collective cell migration and metastases induced by an epithelial-to-mesenchymal transition in Drosophila intestinal tumors,,,2019,10,1,,,40,,Nature Communications,Nature Publishing Group,,,,9780444640727,Article
"Xiao Y., Riahi R., Torab P., Zhang D.D., Wong P.K.",Collective Cell Migration in 3D Epithelial Wound Healing,,,2019,,,,,19,,ACS Nano,American Chemical Society,,,,9780128203101,Article
"Suveges S., Chamseddine I., Rejniak K.A., Eftimie R., Trucu D.",Collective Cell Migration in a Fibrous Environment: A Hybrid Multiscale Modelling Approach,,,2021,7,1,,,1,,Frontiers in Applied Mathematics and Statistics,Frontiers Media S.A.,,,,9780128203101,Article
Schumacher L.,Collective Cell Migration in Development,,Cham,2019,1146,1,105-116,,11,,Advances in Experimental Medicine and Biology,Springer New York LLC,,,,9789811648656,Book Chapter
"Wallmeyer B., Trinschek S., Yigit S., Thiele U., Betz T.",Collective Cell Migration in Embryogenesis Follows the Laws of Wetting,,,2018,114,1,213-222,,15,,Biophysical Journal,Biophysical Society,,,,,Article
"Hashimura H., Morimoto Y.V., Yasui M., Ueda M.",Collective cell migration of Dictyostelium without cAMP oscillations at multicellular stages,,,2019,2,1,,,17,,Communications Biology,Nature Research,,,,,Article
"Yamamoto T., Hiraiwa T., Shibata T.",Collective cell migration of epithelial cells driven by chiral torque generation,,,2020,2,4,,,1,,Physical Review Research,American Physical Society,,,,,Article
"Enomoto U., Imashiro C., Takemura K.",Collective cell migration of fibroblasts is affected by horizontal vibration of the cell culture dish,,,2020,20,44814,402-411,,4,,Engineering in Life Sciences,Wiley-VCH Verlag,,,,,Article
"Tlili S., Gauquelin E., Li B., Cardoso O., Ladoux B., Ayari H. D., Graner F.",Collective cell migration without proliferation: Density determines cell velocity and wave velocity,,,2018,5,5,,,47,,Royal Society Open Science,Royal Society Publishing,,,,,Article
"Chanet S., Huynh J.-R.",Collective Cell Sorting Requires Contractile Cortical Waves in Germline Cells,,,2020,30,21,4213-4226,,5,,Current Biology,Cell Press,,,,,Article
"Shellard A., Mayor R.",Collective durotaxis along a self-generated stiffness gradient in vivo,,,2021,600,7890,690-694,,7,,Nature,Nature Research,,,,,Article
"Pi-Jaumà I., Alert R., Casademunt J.",Collective durotaxis of cohesive cell clusters on a stiffness gradient,,,2022,45,1,,,0,,European Physical Journal E,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Lin S.-Z., Li Y., Ji J., Li B., Feng X.-Q.",Collective dynamics of coherent motile cells on curved surfaces,,,2020,16,12,2941-2952,,7,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Lo Vecchio S., Thiagarajan R., Caballero D., Vigon V., Navoret L., Voituriez R., Riveline D.",Collective Dynamics of Focal Adhesions Regulate Direction of Cell Motion,,,2020,10,6,535-542,,4,,Cell Systems,Cell Press,,,,,Article
"Jiang J., Zeng Z., Pan Z., Shi B., Wang Y., Zhang H.",Collective dynamics of gastric cancer cells in fluid,,,2021,104,6,,,0,,Physical Review E,American Physical Society,,,,,Article
"Li Y., Qin Z., Zhou L., Shahzad K.A., Xia D.",Collective influence of substrate chemistry with physiological fluid shear stress on human umbilical vein endothelial cells,,,2021,45,9,1926-1934,,1,,Cell Biology International,John Wiley and Sons Inc,,,,,Article
"Khalil A.A., Ilina O., Vasaturo A., Venhuizen J.-H., Vullings M., Venhuizen V., Bilos A.B., Figdor C.G., Span P.N., Friedl P.",Collective invasion induced by an autocrine purinergic loop through connexin-43 hemichannels,,,2020,219,10,,,10,,Journal of Cell Biology,Rockefeller University Press,,,,,Article
"Kim Y., Lee D., Lawler S.",Collective invasion of glioma cells through OCT1 signalling and interaction with reactive astrocytes after surgery: Collective invasion of glioma cells,,,2020,375,1807,,,7,,Philosophical Transactions of the Royal Society B: Biological Sciences,Royal Society Publishing,,,,,Article
"Colombi A., Scianna M., Preziosi L.",Collective migration and patterning during early development of zebrafish posterior lateral line: A model for zebrafish PLL development,,,2020,375,1807,,,3,,Philosophical Transactions of the Royal Society B: Biological Sciences,Royal Society Publishing,,,,,Article
"Versaevel M., Alaimo L., Seveau V., Luciano M., Mohammed D., Bruyère C., Vercruysse E., Théodoly O., Gabriele S.",Collective migration during a gap closure in a two-dimensional haptotactic model,,,2021,11,1,,,1,,Scientific Reports,Nature Research,,,,,Article
"Lv J.-Q., Chen P.-C., Guan L.-Y., Góźdź W.T., Feng X.-Q., Li B.",Collective migrations in an epithelial–cancerous cell monolayer,,,2021,37,5,773-784,,2,,Acta Mechanica Sinica/Lixue Xuebao,Springer Verlag,,,,,Article
"Sun J., MacAbenta F., Akos Z., Stathopoulos A.",Collective migrations of drosophila embryonic trunk and caudal mesoderm-derived muscle precursor cells,,,2020,215,2,297-322,,2,,Genetics,Genetics Society of America,,,,,Article
"Guan L.-Y., Lv J.-Q., Zhang D.-Q., Li B.",Collective polarization of cancer cells at the monolayer boundary,,,2021,12,2,,,0,,Micromachines,MDPI AG,,,,,Article
"Waldeland J.O., Polacheck W.J., Evje S.",Collective tumor cell migration in the presence of fibroblasts,,,2020,100,1,,,5,,Journal of Biomechanics,Elsevier Ltd,,,,,Article
